                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,0,      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
63,1.7866,2.9484,3.6338,1.6825,0.40647,0.06135,0.05018,0.03388,0.40184,0.05917,0.04767,0.03346,1.8584,3.0849,3.691,1.8209,6.18E-05,6.18E-05,6.18E-05
58,1.8674,2.9688,3.6742,1.7531,0.55931,0.03885,0.04971,0.0326,0.56161,0.04049,0.04723,0.03177,1.8928,3.1313,3.7193,1.8783,6.95E-05,6.95E-05,6.95E-05
96,1.6811,2.7574,3.5719,1.6192,0.33969,0.07607,0.04336,0.02958,0.33844,0.07549,0.04342,0.02792,1.8742,2.9692,3.6394,1.782,1.08E-05,1.08E-05,1.08E-05
100,1.6854,2.7642,3.5237,1.6158,0.36944,0.06878,0.04261,0.02881,0.36956,0.06886,0.04303,0.02735,1.866,2.9588,3.636,1.7751,4.65E-06,4.65E-06,4.65E-06
93,1.6889,2.7758,3.5691,1.6238,0.33967,0.07422,0.04173,0.02862,0.33987,0.0743,0.04229,0.02727,1.8602,2.9729,3.6546,1.774,1.55E-05,1.55E-05,1.55E-05
99,1.694,2.7344,3.5066,1.614,0.33726,0.07047,0.04225,0.02854,0.33832,0.07324,0.04325,0.02707,1.8612,2.9591,3.6378,1.7729,6.19E-06,6.19E-06,6.19E-06
94,1.6857,2.7272,3.5417,1.6166,0.36869,0.07199,0.04167,0.02771,0.36889,0.07208,0.04253,0.02687,1.8657,2.9782,3.6378,1.773,1.39E-05,1.39E-05,1.39E-05
98,1.6828,2.7513,3.5341,1.6232,0.34126,0.07517,0.04122,0.02772,0.34014,0.07459,0.0414,0.02647,1.8575,2.9612,3.6276,1.7723,7.74E-06,7.74E-06,7.74E-06
95,1.6734,2.7434,3.5302,1.6068,0.37008,0.07017,0.04158,0.02792,0.37075,0.07234,0.04235,0.02633,1.8702,2.983,3.6424,1.7782,1.24E-05,1.24E-05,1.24E-05
97,1.6789,2.7567,3.5437,1.6219,0.33924,0.07243,0.04153,0.02768,0.3394,0.07251,0.0424,0.02606,1.8736,2.9723,3.6406,1.7917,9.28E-06,9.28E-06,9.28E-06
